cafeId,cafename,branchName,numberAddress,roadNameAddress,longitude,latitude
351,스타벅스,영등포역점,서울특별시 영등포구 영등포동1가 143-3,서울특별시 영등포구 경인로,126.9092683,37.5169739
352,스타벅스,샛강역점,서울특별시 영등포구 여의도동 55-2,서울특별시 영등포구 여의대방로,126.9311951,37.51827363
353,스타벅스,창동이마트점,서울특별시 도봉구 창동 135-26,서울특별시 도봉구 노해로65길,127.0466801,37.65162553
354,스타벅스,상암YTN점,서울특별시 마포구 상암동 1607,서울특별시 마포구 상암산로,126.8922963,37.57918577
355,스타벅스,남성역점,서울특별시 동작구 사당동 252-15,서울특별시 동작구 사당로,126.9726471,37.48414926
356,스타벅스,낙성대역점,서울특별시 관악구 봉천동 1660-1,서울특별시 관악구 남부순환로,126.9611919,37.47769667
357,스타벅스,국기원사거리점,서울특별시 강남구 역삼동 648-22,서울특별시 강남구 테헤란로,127.0316633,37.49959623
358,스타벅스,영동2교점,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.0425756,37.48198841
359,스타벅스,올리브타워점,서울특별시 중구 서소문동 135,서울특별시 중구 세종대로9길,126.9729802,37.5613449
360,스타벅스,역삼점,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.0377338,37.50157409
361,스타벅스,사가정역점,서울특별시 중랑구 면목동 617-2,서울특별시 중랑구 면목로,127.0879606,37.57962529
362,스타벅스,노량진동점,서울특별시 동작구 노량진동 333,서울특별시 동작구 노량진로,126.946847,37.51294489
363,스타벅스압구정로데오역점,압구정로데오역점,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786
364,스타벅스,망원역점,서울특별시 마포구 서교동 475-13,서울특별시 마포구 월드컵로,126.9107064,37.55576797
365,스타벅스,쌍문역점,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.0348687,37.64834884
366,스타벅스,아차산역점,서울특별시 광진구 구의동 75-19,서울특별시 광진구 천호대로,127.0899103,37.5505815
367,스타벅스,역삼아레나빌딩점,서울특별시 강남구 역삼동 721-13,서울특별시 강남구 언주로,127.043044,37.50111264
368,스타벅스,무교동점,서울특별시 중구 무교동 45,서울특별시 중구 무교로,126.9789728,37.56762308
369,스타벅스,기술센터점,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.0437621,37.50333505
370,스타벅스서초파라곤점,서초파라곤점,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.0274035,37.49493882
371,스타벅스강변역점,강변역점,서울특별시 광진구 구의동 589-10,서울특별시 광진구 구의강변로,127.0925786,37.53586081
372,스타벅스오목교역점,오목교역점,서울특별시 양천구 목동 404-13,서울특별시 양천구 오목로,126.8767663,37.52394066
